Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_Data Driven Suite,Chrome 139.0.7258.128,,,20-08-2025 00:26:39,20-08-2025 00:30:41,4m - 1.996s,FAILED
,,,,,,,
Test Cases/FormPage/TC10_DataDriven_Successful Submission,Chrome 139.0.7258.128,,,20-08-2025 00:27:36,20-08-2025 00:28:02,26.666s,FAILED
"DATA BINDING - {""DateOfBirth"":""12091970"",""MobileNumber"":""98765432"",""Email"":""bt@yahoo.com"",""Address"":""712 Bukit Batok Singapore"",""FirstName"":""Mark"",""Hobby"":""Sport"",""LastName"":""Tan"",""Gender"":""Male"",""Location"":""East""}",,,,,,,
"callTestCase(findTestCase(""Common/TC_Launch Browser""), [:], STOP_ON_FAILURE)",Chrome 139.0.7258.128,,,20-08-2025 00:27:36,20-08-2025 00:27:43,7.185s,PASSED
"setText(findTestObject(""Module/Test Form/input_First Name""), FirstName)",Chrome 139.0.7258.128,,,20-08-2025 00:27:43,20-08-2025 00:27:47,4.077s,PASSED
"setText(findTestObject(""Module/Test Form/input_Last Name""), LastName)",Chrome 139.0.7258.128,,,20-08-2025 00:27:47,20-08-2025 00:27:48,0.841s,PASSED
"setText(findTestObject(""Module/Test Form/input_Email""), Email)",Chrome 139.0.7258.128,,,20-08-2025 00:27:48,20-08-2025 00:27:49,0.790s,PASSED
"if (Gender == ""Male"")",Chrome 139.0.7258.128,,,20-08-2025 00:27:49,20-08-2025 00:27:49,0.521s,PASSED
"setText(findTestObject(""Module/Test Form/input_Mobile number""), MobileNumber)",Chrome 139.0.7258.128,,,20-08-2025 00:27:49,20-08-2025 00:27:50,0.728s,PASSED
"click(findTestObject(""Module/Test Form/input_Date of Birth""))",Chrome 139.0.7258.128,,,20-08-2025 00:27:50,20-08-2025 00:27:50,0.453s,PASSED
delay(3),Chrome 139.0.7258.128,,,20-08-2025 00:27:50,20-08-2025 00:27:53,3.004s,PASSED
"focus(findTestObject(""Module/Test Form/input_Date of Birth""), STOP_ON_FAILURE)",Chrome 139.0.7258.128,,,20-08-2025 00:27:53,20-08-2025 00:27:54,0.299s,PASSED
